                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.1733,                 0.6843,                  1.165,                0.96288,                0.90497,                0.92324,                0.62158,                 1.1581,                0.50102,                 1.1365,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1817,                0.66168,                 1.1583,                0.95662,                0.89751,                0.92311,                0.62436,                 1.1504,                0.51374,                  1.133,               0.001109,               0.001109,               0.001109
                     47,                 1.1874,                0.65229,                 1.1719,                0.96642,                 0.8923,                0.92689,                0.64823,                 1.1063,                0.48591,                 1.1111,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1923,                0.67435,                 1.1713,                0.96842,                0.89138,                 0.9268,                0.64854,                 1.0951,                0.49874,                 1.1097,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1954,                0.69787,                 1.1785,                0.96697,                0.89535,                0.92781,                0.64853,                  1.119,                0.50235,                 1.1086,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1749,                0.68466,                 1.1664,                0.97071,                0.89905,                0.92515,                0.63285,                 1.1286,                  0.503,                 1.1264,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1761,                0.66647,                 1.1649,                0.97054,                0.89371,                0.92297,                0.62607,                 1.1166,                0.48924,                 1.1217,                0.00101,                0.00101,                0.00101
                     52,                 1.1911,                 0.6976,                 1.1777,                0.95496,                0.90408,                0.92039,                0.61756,                 1.1434,                  0.509,                 1.1322,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2012,                0.67549,                 1.1657,                0.96601,                0.91085,                0.92659,                0.63788,                 1.1201,                0.48889,                  1.111,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1643,                  0.659,                 1.1587,                0.96568,                0.88953,                0.91951,                0.61259,                 1.1508,                0.50391,                 1.1304,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1817,                 0.6551,                 1.1708,                0.95716,                0.90922,                0.93276,                0.65581,                 1.0907,                0.47745,                 1.0987,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1726,                0.66539,                 1.1538,                0.96507,                 0.8876,                0.92954,                0.64377,                 1.1107,                0.48422,                 1.1077,               0.000911,               0.000911,               0.000911
                     57,                 1.1696,                0.66382,                 1.1584,                0.95366,                0.89341,                0.92273,                0.65908,                 1.0582,                0.48697,                 1.0888,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1195,                0.62132,                 1.1398,                0.95272,                0.90504,                0.92911,                0.64822,                 1.1144,                0.47679,                 1.1053,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1487,                0.65282,                 1.1567,                0.96681,                0.90336,                0.93455,                 0.6609,                 1.0541,                0.45814,                 1.0939,              0.0008516,              0.0008516,              0.0008516
